ids,labels,parents
NCAA,NCAA,
B10-NCAA,B10,NCAA
BE-NCAA,BE,NCAA
ACC-NCAA,ACC,NCAA
B12-NCAA,B12,NCAA
MVC-NCAA,MVC,NCAA
A10-NCAA,A10,NCAA
AE-NCAA,AE,NCAA
Amer-NCAA,Amer,NCAA
ASun-NCAA,ASun,NCAA
BSky-NCAA,BSky,NCAA
BSth-NCAA,BSth,NCAA
BW-NCAA,BW,NCAA
CAA-NCAA,CAA,NCAA
CUSA-NCAA,CUSA,NCAA
Horz-NCAA,Horz,NCAA
Ivy-NCAA,Ivy,NCAA
MAAC-NCAA,MAAC,NCAA
MAC-NCAA,MAC,NCAA
MEAC-NCAA,MEAC,NCAA
MWC-NCAA,MWC,NCAA
NEC-NCAA,NEC,NCAA
OVC-NCAA,OVC,NCAA
P12-NCAA,P12,NCAA
Pat-NCAA,Pat,NCAA
SB-NCAA,SB,NCAA
SC-NCAA,SC,NCAA
SEC-NCAA,SEC,NCAA
Slnd-NCAA,Slnd,NCAA
Sum-NCAA,Sum,NCAA
SWAC-NCAA,SWAC,NCAA
WAC-NCAA,WAC,NCAA
WCC-NCAA,WCC,NCAA
B10-NCAA-Michigan,Michigan,B10-NCAA
BE-NCAA-Villanova,Villanova,BE-NCAA
ACC-NCAA-Duke,Duke,ACC-NCAA
ACC-NCAA-Florida St.,Florida St.,ACC-NCAA
B12-NCAA-Kansas St.,Kansas St.,B12-NCAA
B12-NCAA-Texas Tech,Texas Tech,B12-NCAA
B12-NCAA-Kansas,Kansas,B12-NCAA
MVC-NCAA-Loyola Chicago,Loyola Chicago,MVC-NCAA
A10-NCAA-Dayton,Dayton,A10-NCAA
A10-NCAA-Duquesne,Duquesne,A10-NCAA
A10-NCAA-Fordham,Fordham,A10-NCAA
A10-NCAA-George Mason,George Mason,A10-NCAA
A10-NCAA-George Washington,George Washington,A10-NCAA
A10-NCAA-La Salle,La Salle,A10-NCAA
A10-NCAA-Massachusetts,Massachusetts,A10-NCAA
